Code 1,Code Description Text,Full Description text,length
A050,FOODBORNE STAPHYLOCOCCAL INTOXICATION,FOODBORNE STAPHYLOCOCCAL INTOXICATION,4
A051,BOTULISM,BOTULISM,4
A052,FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION,FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION,4
A053,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,4
A054,FOODBORNE BACILLUS CEREUS INTOXICATION,FOODBORNE BACILLUS CEREUS INTOXICATION,4
A058,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,4
A059,"BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED","BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED",4
A06,AMOEBIASIS,AMOEBIASIS,3
A060,ACUTE AMOEBIC DYSENTERY,ACUTE AMOEBIC DYSENTERY,4
A061,CHRONIC INTESTINAL AMOEBIASIS,CHRONIC INTESTINAL AMOEBIASIS,4
A062,AMOEBIC NONDYSENTERIC COLITIS,AMOEBIC NONDYSENTERIC COLITIS,4
A063,AMOEBOMA OF INTESTINE,AMOEBOMA OF INTESTINE,4
A064,AMOEBIC LIVER ABSCESS,AMOEBIC LIVER ABSCESS,4
A065,AMOEBIC LUNG ABSCESS,AMOEBIC LUNG ABSCESS,4
A066,AMOEBIC BRAIN ABSCESS,AMOEBIC BRAIN ABSCESS,4
A067,CUTANEOUS AMOEBIASIS,CUTANEOUS AMOEBIASIS,4
A068,AMOEBIC INFECTION OF OTHER SITES,AMOEBIC INFECTION OF OTHER SITES,4
A069,"AMOEBIASIS, UNSPECIFIED","AMOEBIASIS, UNSPECIFIED",4
A07,OTHER PROTOZOAL INTESTINAL DISEASES,OTHER PROTOZOAL INTESTINAL DISEASES,3
A070,BALANTIDIASIS,BALANTIDIASIS,4
A071,GIARDIASIS [LAMBLIASIS],GIARDIASIS [LAMBLIASIS],4
A072,CRYPTOSPORIDIOSIS,CRYPTOSPORIDIOSIS,4
A073,ISOSPORIASIS,ISOSPORIASIS,4
A078,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,4
A079,"PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED","PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED",4
A08,VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS,VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS,3
A080,ROTAVIRAL ENTERITIS,ROTAVIRAL ENTERITIS,4
A081,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,4
A082,ADENOVIRAL ENTERITIS,ADENOVIRAL ENTERITIS,4
A083,OTHER VIRAL ENTERITIS,OTHER VIRAL ENTERITIS,4
A084,"VIRAL INTESTINAL INFECTION, UNSPECIFIED","VIRAL INTESTINAL INFECTION, UNSPECIFIED",4
A085,OTHER SPECIFIED INTESTINAL INFECTIONS,OTHER SPECIFIED INTESTINAL INFECTIONS,4
A09,OTHER GASTRO' OF PRESUMED INFECT AND COLITIS OF INFEC AND UNSPEC ORIGIN,OTHER GASTRO' OF PRESUMED INFECT AND COLITIS OF INFEC AND UNSPEC ORIGIN,3
A090,OTHER AND UNSPECIFIED GASTROENTIRITIS AND COLITIS OF INFECTIOUS ORIGIN,OTHER AND UNSPECIFIED GASTROENTIRITIS AND COLITIS OF INFECTIOUS ORIGIN,4
A099,GASTROENTIRITIS AND COLITIS OF UNSPECIFIED ORIGIN,GASTROENTIRITIS AND COLITIS OF UNSPECIFIED ORIGIN,4
A09X,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,4
A15,"RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED","RESPIRATORY TUBERCULOSIS, BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED",3
A150,"T.B. OF LUNG, CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE","TUBERCULOSIS OF LUNG, CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE",4
A151,"TUBERCULOSIS OF LUNG, CONFIRMED BY CULTURE ONLY","TUBERCULOSIS OF LUNG, CONFIRMED BY CULTURE ONLY",4
A152,"TUBERCULOSIS OF LUNG, CONFIRMED HISTOLOGICALLY","TUBERCULOSIS OF LUNG, CONFIRMED HISTOLOGICALLY",4
A153,"TUBERCULOSIS OF LUNG, CONFIRMED BY UNSPECIFIED MEANS","TUBERCULOSIS OF LUNG, CONFIRMED BY UNSPECIFIED MEANS",4
A154,"T.B. OF INTRATHORACIC LYMPH NODES, CONFIRMED BACTERIOL. AND HISTOLOGICALLY","TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A155,"T.B. OF LARYNX/TRACHEA/BRONCHUS, CONF BACTERIOLOGICALLY & HISTOLOGICALLY","TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A156,"TUBERCULOUS PLEURISY, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY","TUBERCULOUS PLEURISY, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A157,"PRIMARY RESP TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY & HISTOLOGICALLY","PRIMARY RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A158,"OTHER RESP TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY","OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A159,"RESPIRATORY T.B. UNSPECIFIED, CONFIRMED BACTERIOLOGICALLY & HISTOLOGICALLY","RESPIRATORY TUBERCULOSIS UNSPECIFIED, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",4
A16,"RESPIRATORY TB, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY","RESPIRATORY TUBERCULOSIS, NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY",3
A160,"TUBERCULOSIS OF LUNG, BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE","TUBERCULOSIS OF LUNG, BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE",4
A161,"T.B. OF LUNG, BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE","TUBERCULOSIS OF LUNG, BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE",4
A162,"T.B. OF LUNG, W/O MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION","TUBERCULOSIS OF LUNG, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A163,"T.B. OF INTRATHORACIC LYMPH NODES, W/O MENTION OF BACT/HIST CONFIRMATION","TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A164,"T.B. OF LARYNX/TRACHEA/BRONCHUS, W/O MENTION OF BACT/HIST CONFIRMATION","TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A165,"T.B. PLEURISY, W/O MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION","TUBERCULOUS PLEURISY, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A167,PRIMARY RESP T.B. W/O MENTION OF BACTERIOL OR HISTOL CONFIRMATION,PRIMARY RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,4
A168,OTHER RESP T.B. W/O MENTION OF BACTERIOL OR HISTOL CONFIRMATION,"OTHER RESPIRATORY TUBERCULOSIS, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A169,"RESP T.B. UNSPEC, W/O MENTION OF BACTERIOL OR HISTOL CONFIRMATION","RESPIRATORY TUBERCULOSIS UNSPECIFIED, WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION",4
A17,TUBERCULOSIS OF NERVOUS SYSTEM,TUBERCULOSIS OF NERVOUS SYSTEM,3
A170,TUBERCULOUS MENINGITIS,TUBERCULOUS MENINGITIS,4
A171,MENINGEAL TUBERCULOMA,MENINGEAL TUBERCULOMA,4
A178,OTHER TUBERCULOSIS OF NERVOUS SYSTEM,OTHER TUBERCULOSIS OF NERVOUS SYSTEM,4
A179,"TUBERCULOSIS OF NERVOUS SYSTEM, UNSPECIFIED","TUBERCULOSIS OF NERVOUS SYSTEM, UNSPECIFIED",4
A18,TUBERCULOSIS OF OTHER ORGANS,TUBERCULOSIS OF OTHER ORGANS,3
A180,TUBERCULOSIS OF BONES AND JOINTS,TUBERCULOSIS OF BONES AND JOINTS,4
A181,TUBERCULOSIS OF GENITOURINARY SYSTEM,TUBERCULOSIS OF GENITOURINARY SYSTEM,4
A182,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,4
A183,"TUBERCULOSIS OF INTESTINES, PERITONEUM AND MESENTERIC GLANDS","TUBERCULOSIS OF INTESTINES, PERITONEUM AND MESENTERIC GLANDS",4
A184,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,4
A185,TUBERCULOSIS OF EYE,TUBERCULOSIS OF EYE,4
A186,TUBERCULOSIS OF EAR,TUBERCULOSIS OF EAR,4
A187,TUBERCULOSIS OF ADRENAL GLANDS,TUBERCULOSIS OF ADRENAL GLANDS,4
A188,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,4
A19,MILIARY TUBERCULOSIS,MILIARY TUBERCULOSIS,3
A190,ACUTE MILIARY TUBERCULOSIS OF A SINGLE SPECIFIED SITE,ACUTE MILIARY TUBERCULOSIS OF A SINGLE SPECIFIED SITE,4
A191,ACUTE MILIARY TUBERCULOSIS OF MULTIPLE SITES,ACUTE MILIARY TUBERCULOSIS OF MULTIPLE SITES,4
A192,"ACUTE MILIARY TUBERCULOSIS, UNSPECIFIED","ACUTE MILIARY TUBERCULOSIS, UNSPECIFIED",4
A198,OTHER MILIARY TUBERCULOSIS,OTHER MILIARY TUBERCULOSIS,4
A199,"MILIARY TUBERCULOSIS, UNSPECIFIED","MILIARY TUBERCULOSIS, UNSPECIFIED",4
A20,PLAGUE,PLAGUE,3
A200,BUBONIC PLAGUE,BUBONIC PLAGUE,4
A201,CELLULOCUTANEOUS PLAGUE,CELLULOCUTANEOUS PLAGUE,4
A202,PNEUMONIC PLAGUE,PNEUMONIC PLAGUE,4
A203,PLAGUE MENINGITIS,PLAGUE MENINGITIS,4
A207,SEPTICAEMIC PLAGUE,SEPTICAEMIC PLAGUE,4
A208,OTHER FORMS OF PLAGUE,OTHER FORMS OF PLAGUE,4
A209,"PLAGUE, UNSPECIFIED","PLAGUE, UNSPECIFIED",4
A21,TULARAEMIA,TULARAEMIA,3
A210,ULCEROGLANDULAR TULARAEMIA,ULCEROGLANDULAR TULARAEMIA,4
A211,OCULOGLANDULAR TULARAEMIA,OCULOGLANDULAR TULARAEMIA,4
A212,PULMONARY TULARAEMIA,PULMONARY TULARAEMIA,4
A213,GASTROINTESTINAL TULARAEMIA,GASTROINTESTINAL TULARAEMIA,4
A217,GENERALIZED TULARAEMIA,GENERALIZED TULARAEMIA,4
A218,OTHER FORMS OF TULARAEMIA,OTHER FORMS OF TULARAEMIA,4
A219,"TULARAEMIA, UNSPECIFIED","TULARAEMIA, UNSPECIFIED",4
A22,ANTHRAX,ANTHRAX,3
A220,CUTANEOUS ANTHRAX,CUTANEOUS ANTHRAX,4
A221,PULMONARY ANTHRAX,PULMONARY ANTHRAX,4
A222,GASTROINTESTINAL ANTHRAX,GASTROINTESTINAL ANTHRAX,4
A227,ANTHRAX SEPSIS,ANTHRAX SEPSIS,4
A228,OTHER FORMS OF ANTHRAX,OTHER FORMS OF ANTHRAX,4
A229,"ANTHRAX, UNSPECIFIED","ANTHRAX, UNSPECIFIED",4
A23,BRUCELLOSIS,BRUCELLOSIS,3
A230,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,4
A231,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,4
A232,BRUCELLOSIS DUE TO BRUCELLA SUIS,BRUCELLOSIS DUE TO BRUCELLA SUIS,4
A233,BRUCELLOSIS DUE TO BRUCELLA CANIS,BRUCELLOSIS DUE TO BRUCELLA CANIS,4
A238,OTHER BRUCELLOSIS,OTHER BRUCELLOSIS,4
A239,"BRUCELLOSIS, UNSPECIFIED","BRUCELLOSIS, UNSPECIFIED",4
A24,GLANDERS AND MELIOIDOSIS,GLANDERS AND MELIOIDOSIS,3
A240,GLANDERS,GLANDERS,4
A241,ACUTE AND FULMINATING MELIOIDOSIS,ACUTE AND FULMINATING MELIOIDOSIS,4
A242,SUBACUTE AND CHRONIC MELIOIDOSIS,SUBACUTE AND CHRONIC MELIOIDOSIS,4
A243,OTHER MELIOIDOSIS,OTHER MELIOIDOSIS,4
A244,"MELIOIDOSIS, UNSPECIFIED","MELIOIDOSIS, UNSPECIFIED",4
A25,RAT-BITE FEVERS,RAT-BITE FEVERS,3
A250,SPIRILLOSIS,SPIRILLOSIS,4
A251,STREPTOBACILLOSIS,STREPTOBACILLOSIS,4
A259,"RAT-BITE FEVER, UNSPECIFIED","RAT-BITE FEVER, UNSPECIFIED",4
A26,ERYSIPELOID,ERYSIPELOID,3
A260,CUTANEOUS ERYSIPELOID,CUTANEOUS ERYSIPELOID,4
A267,ERYSIPELOTHRIX SEPSIS,ERYSIPELOTHRIX SEPSIS,4
A268,OTHER FORMS OF ERYSIPELOID,OTHER FORMS OF ERYSIPELOID,4
A269,"ERYSIPELOID, UNSPECIFIED","ERYSIPELOID, UNSPECIFIED",4
A27,LEPTOSPIROSIS,LEPTOSPIROSIS,3
A270,LEPTOSPIROSIS ICTEROHAEMORRHAGICA,LEPTOSPIROSIS ICTEROHAEMORRHAGICA,4
A278,OTHER FORMS OF LEPTOSPIROSIS,OTHER FORMS OF LEPTOSPIROSIS,4
A279,"LEPTOSPIROSIS, UNSPECIFIED","LEPTOSPIROSIS, UNSPECIFIED",4
A28,"OTHER ZOONOTIC BACTERIAL DISEASES, NOT ELSEWHERE CLASSIFIED","OTHER ZOONOTIC BACTERIAL DISEASES, NOT ELSEWHERE CLASSIFIED",3
A280,PASTEURELLOSIS,PASTEURELLOSIS,4
A281,CAT-SCRATCH DISEASE,CAT-SCRATCH DISEASE,4
A282,EXTRAINTESTINAL YERSINIOSIS,EXTRAINTESTINAL YERSINIOSIS,4
A288,"OTHER SPECIFIED ZOONOTIC BACTERIAL DISEASES, NOT ELSEWHERE CLASSIFIED","OTHER SPECIFIED ZOONOTIC BACTERIAL DISEASES, NOT ELSEWHERE CLASSIFIED",4
A289,"ZOONOTIC BACTERIAL DISEASE, UNSPECIFIED","ZOONOTIC BACTERIAL DISEASE, UNSPECIFIED",4
A30,LEPROSY [HANSEN'S DISEASE],LEPROSY [HANSEN'S DISEASE],3
A300,INDETERMINATE LEPROSY,INDETERMINATE LEPROSY,4
A301,TUBERCULOID LEPROSY,TUBERCULOID LEPROSY,4
A302,BORDERLINE TUBERCULOID LEPROSY,BORDERLINE TUBERCULOID LEPROSY,4
A303,BORDERLINE LEPROSY,BORDERLINE LEPROSY,4
A304,BORDERLINE LEPROMATOUS LEPROSY,BORDERLINE LEPROMATOUS LEPROSY,4
A305,LEPROMATOUS LEPROSY,LEPROMATOUS LEPROSY,4
A308,OTHER FORMS OF LEPROSY,OTHER FORMS OF LEPROSY,4
A309,"LEPROSY, UNSPECIFIED","LEPROSY, UNSPECIFIED",4
A31,INFECTION DUE TO OTHER MYCOBACTERIA,INFECTION DUE TO OTHER MYCOBACTERIA,3
A310,PULMONARY MYCOBACTERIAL INFECTION,PULMONARY MYCOBACTERIAL INFECTION,4
A311,CUTANEOUS MYCOBACTERIAL INFECTION,CUTANEOUS MYCOBACTERIAL INFECTION,4
A318,OTHER MYCOBACTERIAL INFECTIONS,OTHER MYCOBACTERIAL INFECTIONS,4
A319,"MYCOBACTERIAL INFECTION, UNSPECIFIED","MYCOBACTERIAL INFECTION, UNSPECIFIED",4
A32,LISTERIOSIS,LISTERIOSIS,3
A320,CUTANEOUS LISTERIOSIS,CUTANEOUS LISTERIOSIS,4
A321,LISTERIAL MENINGITIS AND MENINGOENCEPHALITIS,LISTERIAL MENINGITIS AND MENINGOENCEPHALITIS,4
A327,LISTERIAL SEPSIS,LISTERIAL SEPSIS,4
A328,OTHER FORMS OF LISTERIOSIS,OTHER FORMS OF LISTERIOSIS,4
A329,"LISTERIOSIS, UNSPECIFIED","LISTERIOSIS, UNSPECIFIED",4
A33,TETANUS NEONATORUM,TETANUS NEONATORUM,3
A33X,TETANUS NEONATORUM,TETANUS NEONATORUM,4
A34,OBSTETRICAL TETANUS,OBSTETRICAL TETANUS,3
A34X,OBSTETRICAL TETANUS,OBSTETRICAL TETANUS,4
A35,OTHER TETANUS,OTHER TETANUS,3
A35X,OTHER TETANUS,OTHER TETANUS,4
A36,DIPHTHERIA,DIPHTHERIA,3
A360,PHARYNGEAL DIPHTHERIA,PHARYNGEAL DIPHTHERIA,4
A361,NASOPHARYNGEAL DIPHTHERIA,NASOPHARYNGEAL DIPHTHERIA,4
A362,LARYNGEAL DIPHTHERIA,LARYNGEAL DIPHTHERIA,4
A363,CUTANEOUS DIPHTHERIA,CUTANEOUS DIPHTHERIA,4
A368,OTHER DIPHTHERIA,OTHER DIPHTHERIA,4
A369,"DIPHTHERIA, UNSPECIFIED","DIPHTHERIA, UNSPECIFIED",4
A37,WHOOPING COUGH,WHOOPING COUGH,3
A370,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS,4
A371,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS,4
A378,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES,4
A379,"WHOOPING COUGH, UNSPECIFIED","WHOOPING COUGH, UNSPECIFIED",4
A38,SCARLET FEVER,SCARLET FEVER,3
A38X,SCARLET FEVER,SCARLET FEVER,4
A39,MENINGOCOCCAL INFECTION,MENINGOCOCCAL INFECTION,3
A390,MENINGOCOCCAL MENINGITIS,MENINGOCOCCAL MENINGITIS,4
A391,WATERHOUSE-FRIDERICHSEN SYNDROME,WATERHOUSE-FRIDERICHSEN SYNDROME,4
A392,ACUTE MENINGOCOCCAEMIA,ACUTE MENINGOCOCCAEMIA,4
A393,CHRONIC MENINGOCOCCAEMIA,CHRONIC MENINGOCOCCAEMIA,4
A394,"MENINGOCOCCAEMIA, UNSPECIFIED","MENINGOCOCCAEMIA, UNSPECIFIED",4
A395,MENINGOCOCCAL HEART DISEASE,MENINGOCOCCAL HEART DISEASE,4
A398,OTHER MENINGOCOCCAL INFECTIONS,OTHER MENINGOCOCCAL INFECTIONS,4
A399,"MENINGOCOCCAL INFECTION, UNSPECIFIED","MENINGOCOCCAL INFECTION, UNSPECIFIED",4
A40,STREPTOCOCCAL SEPSIS,STREPTOCOCCAL SEPSIS,3
A400,"SEPSIS DUE TO STREPTOCOCCUS, GROUP A","SEPSIS DUE TO STREPTOCOCCUS, GROUP A",4
A401,"SEPSIS DUE TO STREPTOCOCCUS, GROUP B","SEPSIS DUE TO STREPTOCOCCUS, GROUP B",4
A402,"SEPSIS DUE TO STREPTOCOCCUS, GROUP D","SEPSIS DUE TO STREPTOCOCCUS, GROUP D",4
A403,SEPSIS DUE TO STREPTOCOCCUS PNEUMONIAE,SEPSIS DUE TO STREPTOCOCCUS PNEUMONIAE,4
A408,OTHER STREPTOCOCCAL SEPSIS,OTHER STREPTOCOCCAL SEPSIS,4
A409,"STREPTOCOCCAL SEPSIS, UNSPECIFIED","STREPTOCOCCAL SEPSIS, UNSPECIFIED",4
A41,OTHER SEPSIS,OTHER SEPSIS,3
A410,SEPSIS DUE TO STAPHYLOCOCCUS AUREUS,SEPSIS DUE TO STAPHYLOCOCCUS AUREUS,4
A4100,"SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, NOT MRSA","SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, NOT MRSA",5
A4101,"SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA IDENTIFIED BEFORE ADM","SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA IDENTIFIED BEFORE ADM",5
A4102,"SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA IDENTIFIED AFTER ADM","SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA IDENTIFIED AFTER ADM",5
A4103,"SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA NOT KNOWN WHEN IDENTIFIED","SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, MRSA NOT KNOWN WHEN IDENTIFIED",5
A4109,"SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, NOT KNOWN WHETHER MRSA","SEPSIS DUE TO STAPHYLOCOCCUS AUREUS, NOT KNOWN WHETHER MRSA",5
A411,SEPSIS DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,SEPSIS DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,4
A412,SEPSIS DUE TO UNSPECIFIED STAPHYLOCOCCUS,SEPSIS DUE TO UNSPECIFIED STAPHYLOCOCCUS,4
A413,SEPSIS DUE TO HAEMOPHILUS INFLUENZAE,SEPSIS DUE TO HAEMOPHILUS INFLUENZAE,4
A414,SEPSIS DUE TO ANAEROBES,SEPSIS DUE TO ANAEROBES,4
A415,SEPSIS DUE TO OTHER GRAM-NEGATIVE ORGANISMS,SEPSIS DUE TO OTHER GRAM-NEGATIVE ORGANISMS,4
A418,OTHER SPECIFIED SEPSIS,OTHER SPECIFIED SEPSIS,4
A419,"SEPSIS, UNSPECIFIED","SEPSIS, UNSPECIFIED",4
A42,ACTINOMYCOSIS,ACTINOMYCOSIS,3
A420,PULMONARY ACTINOMYCOSIS,PULMONARY ACTINOMYCOSIS,4
A421,ABDOMINAL ACTINOMYCOSIS,ABDOMINAL ACTINOMYCOSIS,4
A422,CERVICOFACIAL ACTINOMYCOSIS,CERVICOFACIAL ACTINOMYCOSIS,4
A427,ACTINOMYCOTIC SEPSIS,ACTINOMYCOTIC SEPSIS,4
A428,OTHER FORMS OF ACTINOMYCOSIS,OTHER FORMS OF ACTINOMYCOSIS,4
A429,"ACTINOMYCOSIS, UNSPECIFIED","ACTINOMYCOSIS, UNSPECIFIED",4
A43,NOCARDIOSIS,NOCARDIOSIS,3
A430,PULMONARY NOCARDIOSIS,PULMONARY NOCARDIOSIS,4
A431,CUTANEOUS NOCARDIOSIS,CUTANEOUS NOCARDIOSIS,4
A438,OTHER FORMS OF NOCARDIOSIS,OTHER FORMS OF NOCARDIOSIS,4
